href,title,path,region,sub_region,type,crs,base_year,year_range,cellsize_cm,gsd,s3,https,collection_id,collection_title,collection_description,license,links_count
./canterbury/waitaki_2023-2024_0.075m/rgbnir/2193/collection.json,Waitaki 0.075m Near-Infrared Aerial Photos (2023-2024),canterbury/waitaki_2023-2024_0.075m,canterbury,waitaki,rgbnir,2193,2023,2023-2024,7.5,0.075m,s3://nz-imagery/canterbury/waitaki_2023-2024_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/waitaki_2023-2024_0.075m/rgbnir/2193/,01KJ8R1B0RG0Z6ZKZS51Q771ZT,Waitaki 0.075m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Canterbury region captured in the 2023-2024 flying season.,CC-BY-4.0,467
./canterbury/waitaki_2021_0.3m/rgbnir/2193/collection.json,Waitaki 0.3m Near-Infrared Aerial Photos (2021),canterbury/waitaki_2021_0.3m,canterbury,waitaki,rgbnir,2193,2021,2021,30.0,0.3m,s3://nz-imagery/canterbury/waitaki_2021_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/waitaki_2021_0.3m/rgbnir/2193/,01KNTEW5TB4JW7BE4FCRM27QEE,Waitaki 0.3m Near-Infrared Aerial Photos (2021),Near-infrared orthophotography within the Canterbury region captured in the 2021 flying season.,CC-BY-4.0,254
./wellington/wellington_2021_0.3m/rgbnir/2193/collection.json,Wellington 0.3m Near-Infrared Aerial Photos (2021),wellington/wellington_2021_0.3m,wellington,wellington,rgbnir,2193,2021,2021,30.0,0.3m,s3://nz-imagery/wellington/wellington_2021_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/wellington_2021_0.3m/rgbnir/2193/,01KMH9J3AMWHK8WC18VFR59R2E,Wellington 0.3m Near-Infrared Aerial Photos (2021),Near-infrared orthophotography within the Wellington region captured in the 2021 flying season.,CC-BY-4.0,295
./canterbury/waitaki_2020-2021_0.075m/rgbnir/2193/collection.json,Waitaki 0.075m Near-Infrared Aerial Photos (2020-2021),canterbury/waitaki_2020-2021_0.075m,canterbury,waitaki,rgbnir,2193,2020,2020-2021,7.5,0.075m,s3://nz-imagery/canterbury/waitaki_2020-2021_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/waitaki_2020-2021_0.075m/rgbnir/2193/,01KKWZX2YMN052SHY55AH9X4QM,Waitaki 0.075m Near-Infrared Aerial Photos (2020-2021),Near-infrared orthophotography within the Canterbury region captured in the 2020-2021 flying season.,CC-BY-4.0,434
./wellington/wellington_2024_0.25m/rgbnir/2193/collection.json,Wellington 0.25m Near-Infrared Aerial Photos (2024-2025),wellington/wellington_2024_0.25m,wellington,wellington,rgbnir,2193,2024,2024,25.0,0.25m,s3://nz-imagery/wellington/wellington_2024_0.25m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/wellington_2024_0.25m/rgbnir/2193/,01KJ6SRXAAJMTNW363VXA40TE0,Wellington 0.25m Near-Infrared Aerial Photos (2024-2025),Near-infrared orthophotography within the Wellington region captured in the 2024-2025 flying season.,CC-BY-4.0,188
./canterbury/waimate_2025_0.075m/rgbnir/2193/collection.json,Waimate 0.075m Near-Infrared Aerial Photos (2025),canterbury/waimate_2025_0.075m,canterbury,waimate,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/canterbury/waimate_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/waimate_2025_0.075m/rgbnir/2193/,01KMPG33G8NPVFN40E4KT7DTNV,Waimate 0.075m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Canterbury region captured in the 2025 flying season.,CC-BY-4.0,649
./wellington/wellington_2025_0.2m/rgbnir/2193/collection.json,Wellington 0.2m Near-Infrared Aerial Photos (2025) - Draft,wellington/wellington_2025_0.2m,wellington,wellington,rgbnir,2193,2025,2025,20.0,0.2m,s3://nz-imagery/wellington/wellington_2025_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/wellington_2025_0.2m/rgbnir/2193/,01KG39H6G42HFD6ZEQH25828GM,Wellington 0.2m Near-Infrared Aerial Photos (2025) - Draft,Near-infrared orthophotography within the Wellington region captured in the 2025 flying season.,CC-BY-4.0,1249
./canterbury/waimakariri_2023_0.05m/rgbnir/2193/collection.json,Waimakariri 0.05m Near-Infrared Aerial Photos (2023),canterbury/waimakariri_2023_0.05m,canterbury,waimakariri,rgbnir,2193,2023,2023,5.0,0.05m,s3://nz-imagery/canterbury/waimakariri_2023_0.05m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/waimakariri_2023_0.05m/rgbnir/2193/,01KMH290ZESWS6CHVXGSMKVTXD,Waimakariri 0.05m Near-Infrared Aerial Photos (2023),Near-infrared orthophotography within the Canterbury region captured in the 2022-2023 flying season.,CC-BY-4.0,838
./canterbury/selwyn_2020-2021_0.075m/rgbnir/2193/collection.json,Selwyn 0.075m Near-Infrared Aerial Photos (2020-2021),canterbury/selwyn_2020-2021_0.075m,canterbury,selwyn,rgbnir,2193,2020,2020-2021,7.5,0.075m,s3://nz-imagery/canterbury/selwyn_2020-2021_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/selwyn_2020-2021_0.075m/rgbnir/2193/,01KMXY3AWT3JKFG6XFYFX8TRW0,Selwyn 0.075m Near-Infrared Aerial Photos (2020-2021),Near-infrared orthophotography within the Canterbury region captured in the 2020-2021 flying season.,CC-BY-4.0,177
./canterbury/mackenzie_2023_0.075m/rgbnir/2193/collection.json,Mackenzie 0.075m Near-Infrared Aerial Photos (2023),canterbury/mackenzie_2023_0.075m,canterbury,mackenzie,rgbnir,2193,2023,2023,7.5,0.075m,s3://nz-imagery/canterbury/mackenzie_2023_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/canterbury/mackenzie_2023_0.075m/rgbnir/2193/,01KNSY5F29M7BN3RGPWD7X7R8C,Mackenzie 0.075m Near-Infrared Aerial Photos (2023),Near-infrared orthophotography within the Canterbury region captured in the 2023 flying season.,CC-BY-4.0,432
